id,text,locale,validation_status
w001,Please close the blue window.,en-IN,demo_only
w002,Meet me near the main entrance.,en-IN,demo_only
w003,The class begins at nine thirty.,en-IN,demo_only
w004,Turn left after the second signal.,en-IN,demo_only
w005,Write down the name and phone number.,en-IN,demo_only
w006,The meeting moved to Friday afternoon.,en-IN,demo_only
w007,Bring the red folder and two pens.,en-IN,demo_only
w008,Call me when you reach the station.,en-IN,demo_only
w009,The teacher changed the final question.,en-IN,demo_only
w010,"Order tea without sugar, please.",en-IN,demo_only
w011,The bus arrives at platform six.,en-IN,demo_only
w012,Keep the medicine beside the water.,en-IN,demo_only
w013,"First open the file, then read page four.",en-IN,demo_only
w014,The restaurant is crowded this evening.,en-IN,demo_only
w015,Repeat the address after the tone.,en-IN,demo_only
w016,Amit will join the call at five.,en-IN,demo_only
w017,The television volume is already low.,en-IN,demo_only
w018,Choose the third option on the screen.,en-IN,demo_only
w019,"Remember the date, place, and time.",en-IN,demo_only
w020,Walk past the bank and cross the road.,en-IN,demo_only
